Component Item Number,Work Ord Number,Acctg Value,Total Issued,F g,Quantity Required,Over Issued,Over Ext $$,Status Flag
0000-0411-0000|01,1056589,,112,C,70,42,6953.4864,C
******,,,,,,,------,
0000-0411-0000|01,,,,,,,6953.4864,
,,,,,,,,
0000-0419-0000|01,1056398,,317,C,288,29,524.0967,C
******,,,,,,,------,
0000-0419-0000|01,,,,,,,524.0967,
,,,,,,,,
0000-0440-0000|01,1054392,0.315,56,C,50,6,1.89,C
******,,,,,,,------,
0000-0440-0000|01,,,,,,,1.89,
,,,,,,,,
0016-0023-0000|01,1054071,,572,C,570,2,0.658,C
******,,,,,,,------,
0016-0023-0000|01,,,,,,,0.658,
,,,,,,,,
0022-0003-0000|01,1056589,0.0278,150,C,140,10,0.278,C
******,,,,,,,------,
0022-0003-0000|01,,,,,,,0.278,
,,,,,,,,
0022-0017-0000|01,1056589,0.0472,226,C,210,16,0.7552,C
0022-0017-0000|01,1056596,0.0472,1078,C,678,400,18.88,C
******,,,,,,,------,
0022-0017-0000|01,,,,,,,19.6352,
,,,,,,,,
0036-0006-0000|01,1054766,3.551,1,C,0,1,3.551,C
******,,,,,,,------,
0036-0006-0000|01,,,,,,,3.551,
,,,,,,,,
0036-0010-0000|01,1054766,3.5,1,C,0,1,3.5,C
******,,,,,,,------,
0036-0010-0000|01,,,,,,,3.5,
,,,,,,,,
0049443000|01,1055329,1.591,311,A,288,23,36.593,A
******,,,,,,,------,
0049443000|01,,,,,,,36.593,
,,,,,,,,
0053736000|01,1057634,3.501,909,A,900,9,31.509,A
******,,,,,,,------,
0053736000|01,,,,,,,31.509,
,,,,,,,,
0055150004|01,1055329,0.0032,1153,A,1152,1,0.0032,A
0055150004|01,1057337,0.0032,4468,A,4464,4,0.0128,A
0055150004|01,1057634,0.0032,3794,A,3600,194,0.6208,A
******,,,,,,,------,
0055150004|01,,,,,,,0.6368,
,,,,,,,,
0055151004|01,1057337,0.0054,1120,A,1116,4,0.0216,A
******,,,,,,,------,
0055151004|01,,,,,,,0.0216,
,,,,,,,,
0055152004|01,1055329,0.0615,867,A,864,3,0.1845,A
0055152004|01,1057634,0.0615,2711,A,2700,11,0.6765,A
******,,,,,,,------,
0055152004|01,,,,,,,0.861,
,,,,,,,,
0055153004|01,1055329,0.0615,580,A,576,4,0.246,A
0055153004|01,1057337,0.0615,2237,A,2232,5,0.3075,A
******,,,,,,,------,
0055153004|01,,,,,,,0.5535,
,,,,,,,,
0055154004|01,1055329,0.0615,866,A,864,2,0.123,A
0055154004|01,1057337,0.0615,3359,A,3348,11,0.6765,A
******,,,,,,,------,
0055154004|01,,,,,,,0.7995,
,,,,,,,,
0055155004|01,1055329,0.0093,867,A,864,3,0.0279,A
******,,,,,,,------,
0055155004|01,,,,,,,0.0279,
,,,,,,,,
0055157004|01,1055329,0.0035,291,A,288,3,0.0105,A
******,,,,,,,------,
0055157004|01,,,,,,,0.0105,
,,,,,,,,
0055158004|01,1055329,0.0615,598,A,576,22,1.353,A
0055158004|01,1057337,0.0615,2236,A,2232,4,0.246,A
******,,,,,,,------,
0055158004|01,,,,,,,1.599,
,,,,,,,,
0055159004|01,1055329,0.0615,289,A,288,1,0.0615,A
0055159004|01,1057337,0.0615,1119,A,1116,3,0.1845,A
******,,,,,,,------,
0055159004|01,,,,,,,0.246,
,,,,,,,,
0055162004|01,1057337,0.127,1125,A,1116,9,1.143,A
******,,,,,,,------,
0055162004|01,,,,,,,1.143,
,,,,,,,,
0055164004|01,1055329,0.125,303,A,288,15,1.875,A
0055164004|01,1057337,0.125,1141,A,1116,25,3.125,A
******,,,,,,,------,
0055164004|01,,,,,,,5,
,,,,,,,,
0055167004|01,1057337,0.143,1133,A,1116,17,2.431,A
******,,,,,,,------,
0055167004|01,,,,,,,2.431,
,,,,,,,,
0055168004|01,1055329,0.354,883,A,864,19,6.726,A
0055168004|01,1057337,0.354,3371,A,3348,23,8.142,A
******,,,,,,,------,
0055168004|01,,,,,,,14.868,
,,,,,,,,
0055169004|01,1055329,0.07,869,A,864,5,0.35,A
0055169004|01,1057337,0.07,3384,A,3348,36,2.52,A
0055169004|01,1057634,0.07,2770,A,2700,70,4.9,A
******,,,,,,,------,
0055169004|01,,,,,,,7.77,
,,,,,,,,
0055170004|01,1055329,4.065,289,A,288,1,4.065,A
0055170004|01,1057337,4.065,1121,A,1116,5,20.325,A
******,,,,,,,------,
0055170004|01,,,,,,,24.39,
,,,,,,,,
